sparql,owl
"SELECT ?name ?birth ?death ?person WHERE { ?person <http://dbpedia.org/property/birthPlace> <http://dbpedia.org/resource/Poland> ; <http://dbpedia.org/ontology/birthDate> ?birth ; <http://xmlns.com/foaf/0.1/name> ?name ; <http://dbpedia.org/ontology/deathDate> ?death } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME ((Thing THAT ( http://dbpedia.org/property/birthPlace SOME http://dbpedia.org/resource/Poland )) AND (Thing THAT ( http://dbpedia.org/ontology/birthDate SOME Thing )) AND (Thing THAT ( http://dbpedia.org/ontology/deathDate SOME Thing )))))"
"SELECT * WHERE { ?artist a <http://dbpedia.org/ontology/MusicalArtist> ; <http://dbpedia.org/property/genre> <http://dbpedia.org/resource/Blues> ; <http://dbpedia.org/property/genre> <http://dbpedia.org/resource/Rock_and_roll> ; <http://dbpedia.org/property/genre> <http://dbpedia.org/resource/Rockabilly> } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/MusicalArtist )) AND (Thing THAT ( http://dbpedia.org/property/genre SOME http://dbpedia.org/resource/Blues )) AND (Thing THAT ( http://dbpedia.org/property/genre SOME http://dbpedia.org/resource/Rock_and_roll )) AND (Thing THAT ( http://dbpedia.org/property/genre SOME http://dbpedia.org/resource/Rockabilly ))"
"SELECT ?s ?o WHERE { ?s <http://dbpedia.org/ontology/casNumber> ?o } ","(Thing THAT ( http://dbpedia.org/ontology/casNumber SOME Thing ))"
"SELECT ?s ?o WHERE { ?s <http://dbpedia.org/ontology/pubchem> ?o } ","(Thing THAT ( http://dbpedia.org/ontology/pubchem SOME Thing ))"
"SELECT ?s WHERE { <http://dbpedia.org/resource/Livny> a ?s } ","ObjectProperty: http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse 
   inverseOf http://www.w3.org/1999/02/22-rdf-syntax-ns#type
(Thing THAT (http://www.w3.org/1999/02/22-rdf-syntax-ns#typeInverse SOME http://dbpedia.org/resource/Livny))"
"SELECT ?a WHERE { ?a a ?Person } ","(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME Thing ))"
"SELECT * WHERE { ?book <http://www.w3.org/2004/02/skos/core#subject> <http://dbpedia.org/resource/Category:Computer_books> ; <http://xmlns.com/foaf/0.1/name> ?title } ","(Thing THAT ( http://www.w3.org/2004/02/skos/core#subject SOME http://dbpedia.org/resource/Category:Computer_books )) AND (Thing THAT ( http://xmlns.com/foaf/0.1/name SOME Thing ))"
"SELECT ?name WHERE { ?x <http://xmlns.com/foaf/0.1/name> ?name } ","ObjectProperty: http://xmlns.com/foaf/0.1/nameInverse 
   inverseOf http://xmlns.com/foaf/0.1/name
(Thing THAT (http://xmlns.com/foaf/0.1/nameInverse SOME Thing))"
"SELECT ?prop ?m WHERE { ?subject <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Tom_Cruise> ; <http://dbpedia.org/property/director> ?prop ; <http://dbpedia.org/property/title> ?m } ","ObjectProperty: http://dbpedia.org/property/directorInverse 
   inverseOf http://dbpedia.org/property/director
(Thing THAT (http://dbpedia.org/property/directorInverse SOME ((Thing THAT ( http://dbpedia.org/property/starring SOME http://dbpedia.org/resource/Tom_Cruise )) AND (Thing THAT ( http://dbpedia.org/property/title SOME Thing )))))"
"SELECT ?b ?c WHERE { ?b a <http://dbpedia.org/ontology/Artist> . ?c a <http://dbpedia.org/ontology/Film> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Jean_Reno> ; <http://dbpedia.org/ontology/starring> ?b } ","ObjectProperty: http://dbpedia.org/ontology/starringInverse 
   inverseOf http://dbpedia.org/ontology/starring
(Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Artist )) AND (Thing THAT (http://dbpedia.org/ontology/starringInverse SOME ((Thing THAT ( http://www.w3.org/1999/02/22-rdf-syntax-ns#type SOME http://dbpedia.org/ontology/Film )) AND (Thing THAT ( http://dbpedia.org/ontology/starring SOME http://dbpedia.org/resource/Jean_Reno )))))"
